   1   1.72 6.762  8
   2   1.12 2.971  5
   3   1.01 1.385  7
   4   1.14 9.195  6
   5   1.56 5.972  9
   6   1.04 5.292  5
   7   1.00 6.436  5
   8   1.39 0.301  9
   9   1.38 6.349  9
  10   0.99 9.660  6
  11   1.66 6.018  5
  12   1.55 0.310  8
  13   2.26 7.737  8
  14   0.86 8.504  6
  15   1.45 1.970  6
  16   0.90 5.300  5
  17   1.58 0.679  7
  18   1.09 1.617  6
  19   0.97 4.055  7
  20   0.98 2.161  7
  21   1.16 1.837  9
  22   1.20 6.180  6
  23   1.17 2.364  6
  24   1.59 1.170  8
  25   1.00 9.830  8
  26   0.92 8.109  6
  27   1.24 1.339  6
  28   0.98 6.905  5
  29   1.29 2.303  9
  30   1.36 0.769  9
  31   1.80 0.631  6
  32   1.42 1.582  7
  33   1.67 8.000  9
  34   1.13 0.264  5
  35   0.76 1.840  5
  36   0.93 9.218  6
  37   1.03 4.785  6
  38   1.29 3.925  8
  39   1.09 6.479  7
  40   1.64 7.663  9
  41   1.27 6.900  8
  42   1.14 3.070  6
  43   1.60 4.787  9
  44   1.00 6.653  8
  45   0.91 3.322  5
  46   1.40 5.204  8
  47   1.15 6.287  8
  48   2.03 6.444  6
  49   1.34 1.033  9
  50   1.37 5.972  7
